Job`Customer`Order_Date`Part_Number`Rev`Description`Order_Quantity`Extra_Quantity`Pick_Quantity`Make_Quantity`Open_Operations`Completed_Quantity`Shipped_Quantity`FG_Transfer_Qty`In_Production_Quantity`Certs_Required`Act_Scrap_Quantity`Customer_PO`Customer_PO_LN`Sched_End`Sched_Start` `Released_Date`User_Values
---`--------`----------`-----------`---`-----------`--------------`--------------`-------------`-------------`---------------`------------------`----------------`---------------`----------------------`--------------`------------------`-----------`--------------`---------`-----------`-`-------------`-----------
CALEB`D.LINNERUD`2020-05-15 00:00:00.000`DADF`A`aasdf`1`0`0`1`0`0`0`0`1`0`0`ASD`dsa`2023-03-30 00:00:00.000`2023-03-30 00:00:00.000`. Mike K`2021-12-14 00:00:00.000`NULL
129042`PCMC`2023-04-04 00:00:00.000`31311551`NULL`93T, ½ CP ASSEMBLY`1`0`0`1`13`0`0`0`1`0`0`P693062`1`2023-05-15 00:00:00.000`2023-04-07 00:00:00.000`1 ITEM Caleb H`2023-04-05 00:00:00.000`NULL
129041`PCMC`2023-04-04 00:00:00.000`31311503`NULL`93T, ½ CP SPUR GEAR`1`0`0`1`9`0`0`0`1`0`0`P693062`1`2023-05-15 00:00:00.000`2023-04-12 00:00:00.000`1 ITEM Caleb H`2023-04-05 00:00:00.000`NULL
129040`ALKAR`2023-04-04 00:00:00.000`0618340`B`60A40 SPROCKET/HUB ASSEMBLY`6`0`6`0`1`0`0`0`0`0`0`P137677`1`2023-05-02 00:00:00.000`2023-04-14 00:00:00.000`1 ITEM Caleb H`2023-04-05 00:00:00.000`NULL
129039`BW - HUNT`2023-04-04 00:00:00.000`486030`B`80T, 8DP ECCENTRIC`1`0`0`1`5`0`0`0`1`0`0`P247250`3`2023-04-13 00:00:00.000`2023-04-05 00:00:00.000`3RD OF 3 ITEMS Greg V`2023-04-04 00:00:00.000`4373
129038`BW - HUNT`2023-04-04 00:00:00.000`486029`B`80T, 8DP ECCENTRIC`1`0`0`1`5`0`0`0`1`0`0`P247250`2`2023-04-13 00:00:00.000`2023-04-05 00:00:00.000`2ND OF 3 ITEMS Greg V`2023-04-04 00:00:00.000`4374
129037`BW - HUNT`2023-04-04 00:00:00.000`486028`A`ECC HOUSING FLANGE`2`0`0`2`3`0`0`0`2`0`0`P247250`1`2023-04-13 00:00:00.000`2023-04-05 00:00:00.000`1ST OF 3 ITEMS Greg V`2023-04-04 00:00:00.000`4375
129036`ANGELUS SR`2023-04-04 00:00:00.000`1421884`0`P24-5MGT-15`20`0`0`20`11`0`0`0`20`0`0`P023344`1`2023-05-12 00:00:00.000`2023-04-05 00:00:00.000`1 ITEM  `NULL`NULL
129035`CREATE-A-P`2023-04-04 00:00:00.000`2000-002-250`NULL`TABLE/DIAL`1`0`0`1`5`0`0`0`1`0`0`44796-1`1`2023-05-05 00:00:00.000`2023-04-19 00:00:00.000`1 ITEM Caleb H`2023-04-04 00:00:00.000`NULL
129034`EDG GEAR`2023-04-04 00:00:00.000`1.875X13" 303 SS CORE`NULL`KNURLED 303 ST. ST. CORE`8`0`0`8`4`0`0`0`8`0`0`MK 4-4-23`1`2023-04-21 00:00:00.000`2023-04-10 00:00:00.000`1 ITEM   Mike K`2023-04-04 00:00:00.000`NULL
129033`EDG GEAR`2023-04-04 00:00:00.000`MC907X3.5X1.875X13`NULL`MC907 3.5X1.875 303 ST.ST X 13`8`0`0`8`6`0`0`0`8`0`0`MK 4-4-23`1`2023-05-08 00:00:00.000`2023-04-21 00:00:00.000`1 ITEM Mike K`2023-04-05 00:00:00.000`NULL
129032`EDG GEAR`2023-04-04 00:00:00.000`2.5X13" 303 SS CORE`NULL`KNURLED STAINLESS STEEL CORE`8`0`0`8`3`0`0`0`8`0`0`MK 4-4-23`1`2023-05-16 00:00:00.000`2023-05-05 00:00:00.000`1 ITEM   Mike K`2023-04-04 00:00:00.000`NULL
129031`EDG GEAR`2023-04-04 00:00:00.000`MC907 5X2.5 ST.ST.X13`NULL`MC907 5X2.5 303 ST.ST CORE X13`8`0`0`8`6`0`0`0`8`0`0`MK 4-4-23`1`2023-06-01 00:00:00.000`2023-05-17 00:00:00.000`1 ITEM  Mike K`2023-04-04 00:00:00.000`NULL
129030`EDG GEAR`2023-04-04 00:00:00.000`3.5 ST.ST X 13.25 CORE`NULL`KNURLED 304 STAINLESS CORE`10`0`0`10`3`0`0`0`10`0`0`MK 4-4-23`1`2023-05-23 00:00:00.000`2023-05-12 00:00:00.000`1 ITEM  Mike K`2023-04-04 00:00:00.000`NULL
129029`EDG GEAR`2023-04-04 00:00:00.000`MC907 X 6.5 X 3.5SS X 13`NULL`MC907X6.5X3.5 304 SS CORE X 13`10`0`0`10`6`0`0`0`10`0`0`MK 4-4-23`1`2023-06-08 00:00:00.000`2023-05-23 00:00:00.000`1 ITEM  Mike K`2023-04-04 00:00:00.000`NULL
129028`MO-APPLETN`2023-04-04 00:00:00.000`23B1001`A`26T, 8/16 DP INT. SPLINE,`1`0`0`1`4`0`0`0`1`0`0`WI02-00527553`1`2023-04-24 00:00:00.000`2023-04-06 00:00:00.000`1 ITEM - JAMIE`2023-04-04 00:00:00.000`NULL
129027`MO-JACKSON`2023-04-04 00:00:00.000`8641-0186`-`60T SPUR GEAR, NYLOIL`1`3`0`4`7`0`0`0`4`0`0`FL02-00323272`1`2023-05-01 00:00:00.000`2023-04-18 00:00:00.000`1 ITEM  Caleb H`2023-04-04 00:00:00.000`NULL
129026`BENCHMARK`2023-04-03 00:00:00.000`2019360`B`60B39 X 1¼" PLAIN BORE`1`0`0`1`4`0`0`0`1`0`0`BMKP000023431`2`2023-05-02 00:00:00.000`2023-04-14 00:00:00.000`1 OF 2 ITEMS Caleb H`2023-04-05 00:00:00.000`NULL
129025`BENCHMARK`2023-04-03 00:00:00.000`2019359`NULL`60B39 X 1¼" BORE`3`0`0`3`6`0`0`0`3`0`0`BMKP000023431`1`2023-05-02 00:00:00.000`2023-04-13 00:00:00.000`1 OF 2 ITEMS  Caleb H`2023-04-05 00:00:00.000`NULL
