Job`Material`Vendor`Description`Pick_Buy_Indicator`Status
---`--------`------`-----------`------------------`------
128606`NNSM5.0X3.25X13`NULL`NNSM 5" X 3.25" X 13"`P`C
128605`NGSM5.0X1.75X1.5`NULL`GSM NYLASTEEL BLANK`P`O
128604`22" RD 4140 ANN, 4.25" LONG`CASTLE`NULL`B`C
128603`22" RD 4140 ANN, 4.25" LONG`CASTLE`NULL`B`C
128602`9.5X4140`ALRO`9.5" RND.`P`C
128601`137718`NULL`104T, 8 DP GEAR, CLASS 10`P`O
128600`137717`NULL`52T, 8 DP, CLASS 10`P`O
128599`11.5X4140.`NULL`11.5" RND.`P`C
128598`7.5X4140`ALRO`7.5" RND.`P`C
128597`136371`NULL`25T, 8 DP GEAR, CLASS 10`P`O
128596`136234`NULL`29T, 8 DP GEAR, CLASS 10`P`O
128595`119193B`NULL`34T, 8 DP GEAR, CLASS 10`P`O
128594`119192B`NULL`36T, 8 DP GEAR, CLASS 10`P`O
128593`15X4140`ALRO`15" RND.`P`C
128592`22" X 3.5" LONG 4140HT`ALRO`NULL`B`C
128591`21.22OD X 15.6ID X 5.75L`SCOT FORGE`4140HT FORGING`P`C
128590`20 X 5" LONG 80-55-06`DURA-BAR`NULL`B`C
128589`15X4140HT`NULL`15" RND.`P`C
128588`21.34OD X 9.25ID X 3.625"L`SCOT FORGE`4140HT`P`C
128587`3.5X4140`NULL`3.5" RND.`P`C
128586`15X4140HT`NULL`15" RND.`P`C
128585`9.5X4150HT`NULL`NULL`P`C
128584`10XGI`DURA-BAR`10" RND. (CLASS # 40)`P`C
128583`20" 4140HT .8 LONG`ALRO`NULL`B`C
128582`3.5X420SS`NULL`3.5" RND`P`C
128581`2X4340`NULL`NULL`P`C
128580`7.5XDI`NULL`7.5" RND.`P`C
128579`364824`NULL`P40-8M-50 PULLEY`P`C
128577`5X1545`ALRO`5" RND.`P`C
128576`7.5X4140HT`CASTLE`7.5" RND.`P`C
128575`2.75X4140HT`NULL`2.75" RND.`P`C
128574`2X6061`NULL`2" RND.`P`C
128573`49H630-SOLID`NULL`3/C SHEAVE`P`O
128572`3.5X416HT`NULL`416 HT STAINLESS STEEL`P`C
128571`11.5X4140HT`CASTLE`11.5" RND`P`C
128570`1.25X4140HT`CASTLE`1.25" RND.`P`C
128569`7X4140HT`CASTLE`7" RND.`P`C
128568`2.25X4140HT`NULL`2.25" RND.`P`C
128567`NNSM3.0X1.25X.790`NULL`NNSM BLANK`P`O
128566`3X 416 HT`NULL`3IN RND 416 HT`P`C
128564`NMC907 4.0X3.0SSX13`NULL`304 ST. ST. CORE`P`O
128563`3.5XNYOIL`NULL`3.5" RND. (GREEN)`P`O
128562`6X1545`ALRO`6" RND.`P`C
128561`2.75 KNURL CORE`NULL`14.50" LONG`P`O
128561`MC901 5X2.5X26`ALRO`MC901 5X2.5X26 NYLON TUBING`B`S
128560`6.5X1545`ALRO`6.5" RND.`P`C
128559`11X1545`ALRO`11" RND.`P`C
128558`015165`NULL`36T, 2.75 MOD GEAR`P`C
128557`4X660BRNZ`NULL`4" RND.`P`C
128556`5.25X1545`ALRO`5.25" RND.`P`C
128553`NNSM6.0X3.25X13`DURAGEAR`NNSM 6" X 3.25" X 13"`P`C
128552`6.5XNSM`ALRO`6.5" RND.`P`C
128551`NNSM7.0X4.75X13`DURAGEAR`NNSM 7" X 4.75" X 13"`P`C
128551`NNSM7.0X4.75X13`DURAGEAR`NNSM 7" X 4.75" X 13"`P`C
128549`10XMC901`NULL`10" RND.`P`O
128547`139846`NULL`18T, 6 DP ROLLOUT GEAR`P`C
128546`5.5X12L14`CASTLE`5.5 DIA 12L14`P`C
128546`MC901 6.5X5X26" LONG`MIDLAND`NULL`B`S
128545`8X1545`NULL`8" RND.`P`C
128544`6X1545`NULL`6" RND.`P`C
128543`3.25X1545`ALRO`3.25" RND.`P`C
